"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RN7SL124P",79.8485420273873,7.03324821693437,0.901661219727829,7.80032240829587,6.17492099711967e-15,1.73489551181575e-12
"CRYZL2P",20.903528835117,-3.2163634162004,0.636162950056063,-5.055879811795,4.28411086326283e-07,1.69927997358713e-05
"BGLAP",27.6885960201182,-1.17592429287929,0.346743359909415,-3.39133903872448,0.000695520038371936,0.0075960034405624
"KIR2DP1",20.5096183046698,2.5259594980317,0.764102162880557,3.30578765607624,0.000947098327578496,0.00961307178554209
"RPS3AP43",22.7347774096019,3.14458097908515,0.891221721885947,3.52839355444657,0.00041809005893098,0.00507165752239849
"RPS26P21",11.5908079733764,5.49405781319222,1.356188842544,4.05110087979062,5.09772218852499e-05,0.000943294478594227
"AC068522.1",56.2261757493983,1.76320694495567,0.521974220113913,3.37795790867004,0.000730262575697777,0.00790394951513661
"AL162431.2",800.766328757903,-1.39060284454043,0.509891305868964,-2.72725349213504,0.00638639559037833,0.042013137039923
"RPSAP36",41.8872016391301,-1.83670497799706,0.668964644234304,-2.74559349859117,0.00604015534071562,0.0402989123968787
"RPS2P44",257.341536311351,1.39672719913501,0.49261194937447,2.83534981420692,0.00457755322107732,0.032502395264715
"RPL7P18",76.6179453639953,2.89998661338546,0.784697671552208,3.69567378433659,0.000219304410972038,0.00303233693065848
"AC092865.1",4.71790619993294,3.88004272752473,1.37534866175298,2.82113389529849,0.00478542246600697,0.0335892821182703
"MRPS6",999.362458949037,1.24480982211552,0.371120411484824,3.35419390470907,0.000795965634333476,0.00841404410279353
"AC073320.1",12.6404600743818,3.39897301336429,1.1412187251492,2.97837122583132,0.00289784771048461,0.0226771997428987
"AP003733.1",12.7150302011973,6.87298306708477,1.33215604604814,5.15929277765435,2.47884415172199e-07,1.06917992207216e-05
"ETV5",1781.02570699773,3.28305762388432,0.621667127697974,5.28105392357072,1.28442877227377e-07,6.05101041977631e-06
"SCARF2",58.3791655796763,-1.14292335766743,0.423658346246806,-2.69774776725774,0.00698103132113642,0.0450891706881445
"AC006011.1",30.8130072011588,1.62568332920608,0.397912034142514,4.08553446419223,4.39754721761189e-05,0.000845608200238317
"AC136604.2",8.62900769898588,2.59646338885046,0.785382763181956,3.30598468742931,0.00094643259695411,0.00961113705009271
"MIR3150BHG",12.3049884477102,2.81762195282283,0.905344651856585,3.11220919794992,0.0018569286023459,0.0164097946841633
"AL133375.1",42.8243929618927,4.5494013062759,0.746025660174444,6.09818341263504,1.07280613527997e-09,9.31407524059167e-08
"AC026250.1",8.87963936284331,2.06449714728997,0.774667108126552,2.66501201049149,0.00769855732017657,0.0484814856241764
"DACT3-AS1",31.4337338303382,-2.4151466361411,0.690396650983749,-3.49820155225225,0.000468407004747615,0.00556068386093867
"AC009292.1",31.7053398385707,-2.21226501112627,0.70755102457179,-3.1266508482058,0.00176809771926458,0.015840057025245
